Date;Filière;Valeur (%)
2014;"Maximum capacity factor ";0
2015;"Maximum capacity factor ";0
2016;"Maximum capacity factor ";0
2017;"Maximum capacity factor ";0
2018;"Maximum capacity factor ";0
2019;"Maximum capacity factor ";55,057142857143
2020;"Maximum capacity factor ";55,028571428571
2021;"Maximum capacity factor ";55,028571428571
2022;"Maximum capacity factor ";94,550237849018
2023;"Maximum capacity factor ";99,337055417701
2024;"Maximum capacity factor ";98,016520881097
2025;"Maximum capacity factor ";98,177626975689
2026;"Maximum capacity factor ";95,237037515631
2018-09;"Average capacity factor ";
2018-10;"Average capacity factor ";0,92880184331797
2018-11;"Average capacity factor ";5,6258531746032
2018-12;"Average capacity factor ";1,6032642089094
2019-01;"Average capacity factor ";13,798521505376
2019-02;"Average capacity factor ";12,469430272109
2019-03;"Average capacity factor ";18,228341013825
2019-04;"Average capacity factor ";19,340634920635
2019-05;"Average capacity factor ";13,982949308756
2019-06;"Average capacity factor ";11,437619047619
2019-07;"Average capacity factor ";12,562096774194
2019-08;"Average capacity factor ";10,922983870968
2019-09;"Average capacity factor ";25,047638888889
2019-10;"Average capacity factor ";24,466705069124
2019-11;"Average capacity factor ";31,777718253968
2019-12;"Average capacity factor ";27,587192780338
2020-01;"Average capacity factor ";23,182354070661
2020-02;"Average capacity factor ";36,060242200328
2020-03;"Average capacity factor ";28,420583717358
2020-04;"Average capacity factor ";16,71878968254
2020-05;"Average capacity factor ";18,217108294931
2020-06;"Average capacity factor ";14,62130952381
2020-07;"Average capacity factor ";11,676766513057
2020-08;"Average capacity factor ";12,882373271889
2020-09;"Average capacity factor ";11,181666666667
2020-10;"Average capacity factor ";26,925230414747
2020-11;"Average capacity factor ";23,658234126984
2020-12;"Average capacity factor ";29,390629800307
2021-01;"Average capacity factor ";23,782642089094
2021-02;"Average capacity factor ";32,185267857143
2021-03;"Average capacity factor ";21,218106758833
2021-04;"Average capacity factor ";20,89123015873
2021-05;"Average capacity factor ";26,60873655914
2021-06;"Average capacity factor ";9,655496031746
2021-07;"Average capacity factor ";16,1330453149
2021-08;"Average capacity factor ";8,7428571428571
2021-09;"Average capacity factor ";9,160496031746
2021-10;"Average capacity factor ";11,362826420891
2021-11;"Average capacity factor ";18,181369047619
2021-12;"Average capacity factor ";14,755318740399
2022-01;"Average capacity factor ";11,251017665131
2022-02;"Average capacity factor ";24,544026360544
2022-03;"Average capacity factor ";14,949942396313
2022-04;"Average capacity factor ";14,618630952381
2022-05;"Average capacity factor ";10,169335637481
2022-06;"Average capacity factor ";8,1595599250936
2022-07;"Average capacity factor ";14,881801937197
2022-08;"Average capacity factor ";25,130028861604
2022-09;"Average capacity factor ";27,44215701143
2022-10;"Average capacity factor ";36,142141061619
2022-11;"Average capacity factor ";49,080570414656
2022-12;"Average capacity factor ";49,453880753022
2023-01;"Average capacity factor ";51,365495768978
2023-02;"Average capacity factor ";28,765360928498
2023-03;"Average capacity factor ";54,7869773771
2023-04;"Average capacity factor ";34,517882913938
2023-05;"Average capacity factor ";38,924877514742
2023-06;"Average capacity factor ";18,502597182023
2023-07;"Average capacity factor ";25,64922370737
2023-08;"Average capacity factor ";23,586529398677
2023-09;"Average capacity factor ";24,192710201628
2023-10;"Average capacity factor ";45,46788272148
2023-11;"Average capacity factor ";50,489140982858
2023-12;"Average capacity factor ";35,431919029852
2024-01;"Average capacity factor ";42,880713797067
2024-02;"Average capacity factor ";55,028140926733
2024-03;"Average capacity factor ";39,452662580801
2024-04;"Average capacity factor ";41,104847040532
2024-05;"Average capacity factor ";25,952363879406
2024-06;"Average capacity factor ";22,409649591172
2024-07;"Average capacity factor ";23,344163337342
2024-08;"Average capacity factor ";23,681820351608
2024-09;"Average capacity factor ";37,174367811438
2024-10;"Average capacity factor ";28,875915340707
2024-11;"Average capacity factor ";36,06417279803
2024-12;"Average capacity factor ";47,080750619882
2025-01;"Average capacity factor ";40,775874578275
2025-02;"Average capacity factor ";36,974082656352
2025-03;"Average capacity factor ";34,905158110406
2025-04;"Average capacity factor ";36,719753474285
2025-05;"Average capacity factor ";31,726870264854
2025-06;"Average capacity factor ";22,59734271487
2025-07;"Average capacity factor ";27,997250358555
2025-08;"Average capacity factor ";27,55203581992
2025-09;"Average capacity factor ";39,209122634111
2025-10;"Average capacity factor ";48,763413325516
2025-11;"Average capacity factor ";56,175228078345
2025-12;"Average capacity factor ";55,167160095502
2026-01;"Average capacity factor ";51,571877248256
2014;"Maximum capacity factor ";79,051031787502
2015;"Maximum capacity factor ";86,96269560836
2016;"Maximum capacity factor ";83,086198410314
2017;"Maximum capacity factor ";82,85655020708
2018;"Maximum capacity factor ";82,208196728678
2019;"Maximum capacity factor ";85,649469361113
2020;"Maximum capacity factor ";81,060695844875
2021;"Maximum capacity factor ";85,509009139637
2022;"Maximum capacity factor ";84,585110260872
2023;"Maximum capacity factor ";82,92648794699
2024;"Maximum capacity factor ";80,492949283227
