Date;Filière;Valeur (GWh)
2020-01;"Wind power modulation volume";0
2020-02;"Wind power modulation volume";3,2626448333333
2020-03;"Wind power modulation volume";5,7389075277778
2020-04;"Wind power modulation volume";12,172235805556
2020-05;"Wind power modulation volume";16,843688138889
2020-06;"Wind power modulation volume";3,316357
2020-07;"Wind power modulation volume";13,184419583333
2020-08;"Wind power modulation volume";0
2020-09;"Wind power modulation volume";0
2020-10;"Wind power modulation volume";0
2020-11;"Wind power modulation volume";10,862055333333
2020-12;"Wind power modulation volume";12,209554833333
2021-01;"Wind power modulation volume";0
2021-02;"Wind power modulation volume";1,3317192222222
2021-03;"Wind power modulation volume";4,2796168333333
2021-04;"Wind power modulation volume";4,16967125
2021-05;"Wind power modulation volume";17,921898861111
2021-06;"Wind power modulation volume";0,76602111111111
2021-07;"Wind power modulation volume";5,45258175
2021-08;"Wind power modulation volume";11,252903666667
2021-09;"Wind power modulation volume";0
2021-10;"Wind power modulation volume";8,7555403333333
2021-11;"Wind power modulation volume";0
2021-12;"Wind power modulation volume";0
2022-01;"Wind power modulation volume";0
2022-02;"Wind power modulation volume";0
2022-03;"Wind power modulation volume";0
2022-04;"Wind power modulation volume";0
2022-05;"Wind power modulation volume";0
2022-06;"Wind power modulation volume";0
2022-07;"Wind power modulation volume";0
2022-08;"Wind power modulation volume";0
2022-09;"Wind power modulation volume";0
2022-10;"Wind power modulation volume";0
2022-11;"Wind power modulation volume";0
2022-12;"Wind power modulation volume";15,392995715722
2023-01;"Wind power modulation volume";30,610974956
2023-02;"Wind power modulation volume";0
2023-03;"Wind power modulation volume";20,509340273
2023-04;"Wind power modulation volume";5,2285200166667
2023-05;"Wind power modulation volume";48,714340579889
2023-06;"Wind power modulation volume";17,747666515833
2023-07;"Wind power modulation volume";114,47166739689
2023-08;"Wind power modulation volume";0
2023-09;"Wind power modulation volume";35,422081552417
2023-10;"Wind power modulation volume";5,4046079413889
2023-11;"Wind power modulation volume";0
2023-12;"Wind power modulation volume";147,93024235567
2024-01;"Wind power modulation volume";49,059570058333
2024-02;"Wind power modulation volume";0
2024-03;"Wind power modulation volume";30,337513802444
2024-04;"Wind power modulation volume";338,03917066017
2024-05;"Wind power modulation volume";80,687138735361
2024-06;"Wind power modulation volume";151,69608808181
2024-07;"Wind power modulation volume";112,82435895781
2024-08;"Wind power modulation volume";85,753947193667
2024-09;"Wind power modulation volume";75,352147547305
2024-10;"Wind power modulation volume";36,746075547694
2024-11;"Wind power modulation volume";0
2024-12;"Wind power modulation volume";0
2025-01;"Wind power modulation volume";0
2025-02;"Wind power modulation volume";0
2025-03;"Wind power modulation volume";24,311676530833
2025-04;"Wind power modulation volume";211,24801648775
2025-05;"Wind power modulation volume";265,63883321306
2025-06;"Wind power modulation volume";279,8112087235
2025-07;"Wind power modulation volume";13,098168297167
2025-08;"Wind power modulation volume";86,027043089222
2025-09;"Wind power modulation volume";290,77169700594
2025-10;"Wind power modulation volume";128,46287479778
2025-11;"Wind power modulation volume";0
2025-12;"Wind power modulation volume";0
2026-01;"Wind power modulation volume";0
2020-01;"Wind power modulation volume";0
2020-02;"Wind power modulation volume";0
2020-03;"Wind power modulation volume";0
2020-04;"Wind power modulation volume";5,5771960833333
2020-05;"Wind power modulation volume";2,9583003333333
2020-06;"Wind power modulation volume";0
2020-07;"Wind power modulation volume";0
2020-08;"Wind power modulation volume";0
2020-09;"Wind power modulation volume";0
2020-10;"Wind power modulation volume";0
2020-11;"Wind power modulation volume";10,862055333333
2020-12;"Wind power modulation volume";4,0849633333333
2021-01;"Wind power modulation volume";0
2021-02;"Wind power modulation volume";0
2021-03;"Wind power modulation volume";0
2021-04;"Wind power modulation volume";0
2021-05;"Wind power modulation volume";0
2021-06;"Wind power modulation volume";0
2021-07;"Wind power modulation volume";1,2754769166667
2021-08;"Wind power modulation volume";11,252903666667
2021-09;"Wind power modulation volume";0
2021-10;"Wind power modulation volume";0
2021-11;"Wind power modulation volume";0
2021-12;"Wind power modulation volume";0
2022-01;"Wind power modulation volume";0
2022-02;"Wind power modulation volume";0
2022-03;"Wind power modulation volume";0
2022-04;"Wind power modulation volume";0
2022-05;"Wind power modulation volume";0
2022-06;"Wind power modulation volume";0
2022-07;"Wind power modulation volume";0
2022-08;"Wind power modulation volume";0
2022-09;"Wind power modulation volume";0
2022-10;"Wind power modulation volume";0
2022-11;"Wind power modulation volume";0
2022-12;"Wind power modulation volume";15,392995715722
2023-01;"Wind power modulation volume";0
2023-02;"Wind power modulation volume";0
2023-03;"Wind power modulation volume";0
2023-04;"Wind power modulation volume";0
2023-05;"Wind power modulation volume";0
2023-06;"Wind power modulation volume";0
2023-07;"Wind power modulation volume";0
